Provider	Provider Country	Vendor Identifier	UPC	ISRC	Artist / Show	Title / Episode / Season	Label/Studio/Network	Product Type Identifier	Units	Royalty Price	Begin Date	End Date	Customer Currency	Country Code	Royalty Currency	Preorder	Season Pass	ISAN	Apple Identifier	Customer Price	CMA	Asset/Content Flavor	Vendor Offer Code	Grid	Promo Code	Parent Identifier
APPLE	US	000000001	 	 	Acme Corp	Widgets	 	1	1	0	1/21/10	1/21/10	USD	US	USD	 	 	 	350525324	0	 	 	 	 	CR-RW	 
APPLE	US	000000001	 	 	Acme Corp	Widgets	 	1	2	1.4	01/21/2010	01/21/2010	CAD	CA	CAD	 	 	 	350525324	1.99	 	 	 	 	 	 
APPLE	US	000000000	 	 	Acme Corp	Sprockets	 	1	13	0	01/21/2010	01/21/2010	USD	HK	USD	 	 	 	350523538	0	 	 	 	 	 	 
APPLE	US	000000000	 	 	Acme Corp	Sprockets	 	1	11	0	01/21/2010	01/21/2010	USD	CN	USD	 	 	 	350523538	0	 	 	 	 	 	 
APPLE	US	000000000	 	 	Acme Corp	Sprockets	 	1	2	0	01/21/2010	01/21/2010	USD	AE	USD	 	 	 	350523538	0	 	 	 	 	 	 
APPLE	US	000000000	 	 	Acme Corp	Sprockets	 	1	2	0	01/21/2010	01/21/2010	EUR	RO	EUR	 	 	 	350523538	0	 	 	 	 	 	 
APPLE	US	000000000	 	 	Acme Corp	Sprockets	 	1	463	0	01/21/2010	01/21/2010	USD	US	USD	 	 	 	350523538	0	 	 	 	 	 	 
APPLE	US	000000000	 	 	Acme Corp	Sprockets	 	1	4	0	01/21/2010	01/21/2010	EUR	LU	EUR	 	 	 	350523538	0	 	 	 	 	 	 
APPLE	US	000000000	 	 	Acme Corp	Sprockets	 	1	2	0	01/21/2010	01/21/2010	USD	CO	USD	 	 	 	350523538	0	 	 	 	 	 	 
APPLE	US	000000000	 	 	Acme Corp	Sprockets	 	1	1	0	01/21/2010	01/21/2010	USD	EC	USD	 	 	 	350523538	0	 	 	 	 	 	 
APPLE	US	000000000	 	 	Acme Corp	Sprockets	 	1	151	0	01/21/2010	01/21/2010	EUR	DE	EUR	 	 	 	350523538	0	 	 	 	 	 	 
APPLE	US	000000001	 	 	Acme Corp	Widgets	 	1	1	.97	01/21/2010	01/21/2010	EUR	IT	EUR	 	 	 	350525324	1.59	 	 	 	 	 	 
APPLE	US	000000000	 	 	Acme Corp	Sprockets	 	1	34	0	01/21/2010	01/21/2010	EUR	NL	EUR	 	 	 	350523538	0	 	 	 	 	 	 
APPLE	US	000000000	 	 	Acme Corp	Sprockets	 	1	28	0	01/21/2010	01/21/2010	EUR	ES	EUR	 	 	 	350523538	0	 	 	 	 	 	 
APPLE	US	000000000	 	 	Acme Corp	Sprockets	 	1	20	0	01/21/2010	01/21/2010	SEK	SE	EUR	 	 	 	350523538	0	 	 	 	 	 	 
APPLE	US	000000000	 	 	Acme Corp	Sprockets	 	1	12	0	01/21/2010	01/21/2010	NOK	NO	EUR	 	 	 	350523538	0	 	 	 	 	 	 
APPLE	US	000000000	 	 	Acme Corp	Sprockets	 	1	45	0	01/21/2010	01/21/2010	CHF	CH	EUR	 	 	 	350523538	0	 	 	 	 	 	 
APPLE	US	000000000	 	 	Acme Corp	Sprockets	 	1	24	0	01/21/2010	01/21/2010	AUD	AU	AUD	 	 	 	350523538	0	 	 	 	 	 	 
APPLE	US	000000000	 	 	Acme Corp	Sprockets	 	1	6	0	01/21/2010	01/21/2010	USD	TW	USD	 	 	 	350523538	0	 	 	 	 	 	 
